phrasing,intent,source
"Kuva umwana wanjye avuka, numvaga mfite agahinda n'impungenge",sadness_low_mood,kb_trigger_mt
Buri gihe ndarira kandi sinzi impamvu,sadness_low_mood,kb_trigger_mt
Numva nta byiringiro mfite kandi nta kintu kimpa ibyishimo,sadness_low_mood,kb_trigger_mt
Numva ndemerewe cyane kandi sincyumva ko ndi umuntu,overwhelmed_identity,kb_trigger_mt
Sinzi uwo ndi we ubu ko ndi umubyeyi,overwhelmed_identity,kb_trigger_mt
Ibyo ni byinshi cyane kandi numva ni nk'aho nta cyo maze,overwhelmed_identity,kb_trigger_mt
Sinshobora kureka guhangayikishwa n'uko hari ikintu kizagera ku mwana wanjye,anxiety_worry,kb_trigger_mt
Numva mpangayitse kandi mpangayitse buri gihe,anxiety_worry,kb_trigger_mt
Ndumva mfite ubwoba cyane ku buryo ntashobora kuruhuka n'igihe umwana azaba ameze neza,anxiety_worry,kb_trigger_mt
Uwo twashakanye ntasobanukiwe ibyo ndimo mpura na byo,relationship_support,kb_trigger_mt
Ibyo byose bituma numva ndi jyenyine,relationship_support,kb_trigger_mt
Nta muntu n'umwe mfite uzamfasha kubyara,relationship_support,kb_trigger_mt
Ni iki nakora kugira ngo nitwararike mu gihe ndi kwita ku mwana wanjye umaze kuvuka?,self_care_coping,kb_trigger_mt
Nakora iki ngo ndusheho kumva meze neza kandi nshobore guhangana n'ibyo byose?,self_care_coping,kb_trigger_mt
Ni iki kizafasha umuntu kwiyumva nabi nyuma yo kubyara?,self_care_coping,kb_trigger_mt
Ese ni ibisanzwe kumva umeze utyo nyuma yo kubyara?,sadness_low_mood,kb_trigger_mt
Ese ni jye jyenyine wumva umeze utyo?,sadness_low_mood,kb_trigger_mt
Ese hari ikibi mfite bitewe n'uko mba mfite agahinda?,sadness_low_mood,kb_trigger_mt
Ndarambiwe cyane ariko umwana arantuma ntasinzira ijoro ryose,sleep,kb_trigger_mt
Sinjya ndyama bihagije kandi buri gihe numva naniwe,sleep,kb_trigger_mt
Nakora iki ngo nduhuke mu gihe umwana wanjye ukiri muto akanguka kenshi?,sleep,kb_trigger_mt
"Ese n'igihe umwana wanjye azaba amaze kuvuka, nzakomeza kubonana n'umukozi w'ubuvuzi?",self_care_coping,kb_trigger_mt
Ni he nabona ubufasha nyuma yo kubyara?,self_care_coping,kb_trigger_mt
Ni ubuhe bufasha mfite nk'umubyeyi mushya?,self_care_coping,kb_trigger_mt
"Hari ibintu byinshi nkora nkumva ko nta cyo maze, nta cyo nkora uretse gutekereza ukuntu nta cyo maze, ko nta cyo nkwiriye kuba mfite, ko ntagerageza kwiyahura cyangwa ngo ntekereze ku byo nkora, ko nifuza gukemura ibibazo byanjye, ariko sinigeze mbikora.",sleep,amod
"Mfite ibibazo byinshi ngomba guhangana nabyo. Mfite amateka y'ihohoterwa rishingiye ku gitsina, ndi umurwayi wa kanseri y'ibere kandi ndi umuntu utagira ibitotsi ubuzima bwanjye bwose. Mfite amateka maremare y'ihungabana kandi ntangiye kugira impungenge. Mfite kwiyubaha hasi ariko ndashyingiranywe ibyishimo hafi imyaka 35. Sinigeze ngira inama kuri ibyo byose. Ese mfite ibibazo byinshi byo guhangana nabyo mu gutanga inama?",sleep,amod
"Ubu maze ukwezi kurenga numva ndemerewe, kandi ntangira kugira ikibazo cyo gusinzira bitewe n'ibyago byo gutinya, ariko sinigeze numva ko biterwa n'ikintu nzi.",sleep,amod
"Mfite ikibazo cy'agahinda gakabije n'imihangayiko, numva ko ndimo ndwana n'ibintu byinshi. Ibi biranshishikaza cyane kandi sinashobora kwivanaho ibitekerezo byanjye ku bintu binshishikaza.",sadness_low_mood,amod
"Mfite ikibazo gikomeye cy'umugongo. Mfite za operasiyo 3 zikomeye n'izoroheje, ariko ndacyababazwa cyane.",sadness_low_mood,amod
"Mfite indwara yo mu mutwe (ADHD), indwara yo guhangayika no kwiheba. Kubona umuganga mu gace k'iwacu ntibyoroshye, kandi umuganga wanjye nta cyo amfasha.",overwhelmed_identity,amod
