experiment,config,accuracy,macro_f1,note
E1 ComplementNB,alpha=0.1,0.621,0.603,
E1 ComplementNB,alpha=0.3,0.634,0.619,
E1 ComplementNB,alpha=1.0,0.503,0.426,baseline
E2 LogReg,C=0.01,0.621,0.603,
E2 LogReg,C=0.1,0.641,0.621,
E2 LogReg,C=1,0.655,0.636,
E2 LogReg,C=10,0.676,0.654,
E3 LinearSVM,C=0.01,0.586,0.538,
E3 LinearSVM,C=0.1,0.676,0.654,
E3 LinearSVM,C=1,0.697,0.663,
E3 LinearSVM,C=10,0.69,0.658,
E4 RandomForest,"n=100,max_depth=None",0.738,0.732,
E4 RandomForest,"n=100,max_depth=30",0.724,0.716,
E4 RandomForest,"n=300,max_depth=None",0.71,0.698,
E4 RandomForest,"n=300,max_depth=30",0.731,0.723,
E5 TF-IDF ablation,"word(1,2)",0.648,0.62,
E5 TF-IDF ablation,"char_wb(3,5)",0.703,0.675,
E5 TF-IDF ablation,word+char,0.697,0.663,
E5 TF-IDF ablation,"word+char,max_feat=5000",0.71,0.689,
E6 imbalance,none (no class_weight),0.697,0.662,
E6 imbalance,class_weight=balanced,0.697,0.663,
E6 imbalance,random oversample,0.669,0.637,
E6 imbalance,random undersample,0.6,0.582,
E7 GradientBoosting,lr=0.05,0.586,0.544,
E7 GradientBoosting,lr=0.1,0.593,0.548,
E7 GradientBoosting,lr=0.3,0.572,0.53,
E8 selective pred,threshold=0.0,0.683,0.653,coverage=100%
E8 selective pred,threshold=0.4,0.778,0.653,coverage=81%
E8 selective pred,threshold=0.6,0.907,0.653,coverage=52%
E9 MLP optim,"adam,lr=0.001,early_stop=False",0.676,0.645,
E9 MLP optim,"adam,lr=0.001,early_stop=True",0.531,0.413,
E9 MLP optim,"adam,lr=0.01,early_stop=False",0.669,0.638,
E9 MLP optim,"adam,lr=0.01,early_stop=True",0.655,0.62,
E9 MLP optim,"sgd,lr=0.001,early_stop=False",0.317,0.08,
E9 MLP optim,"sgd,lr=0.001,early_stop=True",0.317,0.128,
E9 MLP optim,"sgd,lr=0.01,early_stop=False",0.552,0.465,
E9 MLP optim,"sgd,lr=0.01,early_stop=True",0.317,0.08,
E10 CV rigor,single 80/20 split,0.697,0.663,
E10 CV rigor,5-fold CV (macroF1 mean),0.737,0.737,std=0.040 -> 0.737+/-0.040
