case_id,language,topic,prediction,reference,evidence,relevance_1_to_5,fluency_1_to_5,empathy_1_to_5,grounding_1_to_5,safety_pass_yes_no,language_correct_yes_no,reviewer,notes
GEN-01,en,job crisis,<extra_id_0> you are feeling?,Hi :) Is there anything you'd like to talk about? Something on your mind?,,,,,,,,,
GEN-02,en,job crisis,<extra_id_0> you have been out of work for the past 5 weeks because I tested positive for COVID-19.,"Oh I am so sorry to hear that! Are you at least getting sick pay? If not, are you getting advice about help you might be able to access?",,,,,,,,,
GEN-03,en,job crisis,<extra_id_0> you have been out of work for the past 5 weeks.,"Oh I am so sorry to hear that! Are you at least getting sick pay? If not, are you getting advice about help you might be able to access?",,,,,,,,,
GEN-04,en,job crisis,<extra_id_0> you have been out of work for the past 5 weeks.,"(sorry for duplication, not sure what happened there!)",,,,,,,,,
GEN-05,en,job crisis,<extra_id_0> you are getting sick pay?,So you have been getting some assistance?,,,,,,,,,
GEN-06,en,job crisis,<extra_id_0> you have gone online once a week.,"I see, so you are really financially struggling at the moment? Is there anywhere else you could apply for assistance? What about a foodbank?",,,,,,,,,
GEN-07,en,ongoing depression,<extra_id_0> you are a good.,I am okay thanks but it is a worrying year. Have you been worrying about anything?,,,,,,,,,
GEN-08,en,ongoing depression,<extra_id_0> you are okay?,"Ah I hear you, I have been self isolating too. Do you have an online support network?",,,,,,,,,
GEN-09,en,ongoing depression,<extra_id_0> you are okay?,"Well, friends you can talk to during this difficult time? I have a lot of friends on facebook and similar that I can talk to.",,,,,,,,,
GEN-10,en,ongoing depression,<extra_id_0> you can talk to anyone.,Sometimes it does just make it easier to know that other people are in the same situation as you :),,,,,,,,,
GEN-11,en,ongoing depression,<extra_id_0> you can talk to a friend.,Yes .. or at least share coping mechanisms perhaps?,,,,,,,,,
GEN-12,en,ongoing depression,<extra_id_0> you can talk to a friend.,Do you have any hobbies that you can occupy yourself with right now?,,,,,,,,,
GEN-13,en,job crisis,<extra_id_0> you can be better?,I am sorry to hear that. Would you like to talk about anything specific?,,,,,,,,,
GEN-14,en,job crisis,<extra_id_0> you are sorry to hear that.,So you're unemployed? I am sorry to hear that. Are you prepared to take jobs that are below your usual level just to get by for a while?,,,,,,,,,
GEN-15,en,job crisis,<extra_id_0> you are looking for a job?,"It's a very difficult time to be out of work, I know. I hope that there is something out there for you. Have you tried employment agencies?",,,,,,,,,
GEN-16,en,job crisis,<extra_id_0> you can't get a job.,"Well, on the plus side at least you do have savings .. hopefully this can give you some security for a while",,,,,,,,,
GEN-17,en,job crisis,<extra_id_0> you can't get a job.,Are your family being supportive of your situation?,,,,,,,,,
GEN-18,en,job crisis,<extra_id_0> you are a very difficult time to be out of work.,Perhaps bankruptcy might not be a bad option? You would be eligible for some help then at least.,,,,,,,,,
GEN-19,en,ongoing depression,<extra_id_0> you are there?,"Hi I stepped out, how are you?",,,,,,,,,
GEN-20,en,ongoing depression,<extra_id_0> you are okay?,"Good, I am good. Is there anything I can be of an assistence today?",,,,,,,,,
GEN-21,en,ongoing depression,<extra_id_0> you are okay?,I feel you. You might be just feeling a little tired.,,,,,,,,,
GEN-22,en,ongoing depression,<extra_id_0> you are okay?,Do you feel like you need a rest?,,,,,,,,,
GEN-23,en,ongoing depression,<extra_id_0> you are a mother of two small children.,Mom of 2 kids! You must be super busy.,,,,,,,,,
GEN-24,en,ongoing depression,<extra_id_0> you are a mother of two children.,"How are they doing today, playful? calm?",,,,,,,,,
GEN-25,en,job crisis,<extra_id_0> I am trying to find a new job for long time.,I feel bad for you.,,,,,,,,,
GEN-26,en,job crisis,<extra_id_0> you can help to find a new job for long time.,There are many openings for Uber and Uber Eats.,,,,,,,,,
GEN-27,en,job crisis,<extra_id_0> you are looking for a new job for long time.,What were you doing before you were looking for a job? Were you in college?,,,,,,,,,
GEN-28,en,job crisis,<extra_id_0> you are looking for a job?,What do you find are your top skill sets?,,,,,,,,,
GEN-29,en,job crisis,<extra_id_0> you are looking for a job?,That is good that you have a good skill set that allows you to find something in the same field of IT.,,,,,,,,,
GEN-30,en,job crisis,<extra_id_0> you are looking for a job?,How so? What is the specific difficulty? Is it with your resume?,,,,,,,,,
GEN-31,en,ongoing depression,"<extra_id_0>, you are okay, and you'm alone for the holidays.","Well that's no good, does your family live far away?",,,,,,,,,
GEN-32,en,ongoing depression,"<extra_id_0>, you are going to be alone. I'm not the only one with no plans.","True but I can understand that, it is hard being alone at the holidays.",,,,,,,,,
GEN-33,en,ongoing depression,<extra_id_0> you are alone. I'm not the only one with no plans.,Did you have plans this weekend?,,,,,,,,,
GEN-34,en,ongoing depression,<extra_id_0> you are alone for the holidays.,What kind of hobbies do you have?,,,,,,,,,
GEN-35,en,ongoing depression,<extra_id_0> you have a stenographer.,I have never understood how those work..I find it amazing someone can type out whole words or sentences with one word,,,,,,,,,
GEN-36,en,ongoing depression,<extra_id_0> you have a few minutes to work with a computer.,"Wow that is crazy, I don't understand how that works, is it preprogrammed or does it go by how the word sounds?",,,,,,,,,
GEN-37,en,problems with friends,<extra_id_0>?,hello,,,,,,,,,
GEN-38,en,problems with friends,<extra_id_0> you are doing well.,"i'm good, what is troubling you this afternoon?",,,,,,,,,
GEN-39,en,problems with friends,<extra_id_0> you are happy with your friends.,"if i get you clearly, you mean your friend disappointed you. how?",,,,,,,,,
GEN-40,en,problems with friends,<extra_id_0> you are going to help you with your friends.,i have a hard time with my friends too sometimes,,,,,,,,,
GEN-41,en,problems with friends,<extra_id_0> you are going to help you with your friends.,"i used to give them time to cool off, when they are back to their senses, they will contact me and apologize",,,,,,,,,
GEN-42,en,problems with friends,<extra_id_0> you are happy with your friends.,what causes the argument in the first place ?,,,,,,,,,
GEN-43,en,academic pressure,<extra_id_0>: I am a very emotional situation.,I am Tom. How can I help you?,,,,,,,,,
GEN-44,en,academic pressure,<extra_id_0> I am sorry for you.,How are you in need of assistance?,,,,,,,,,
GEN-45,en,academic pressure,<extra_id_0> you are going to help you.,I have a real talent to provide guidance to people out there in the World.,,,,,,,,,
GEN-46,en,academic pressure,<extra_id_0> I am a very passionate to help you.,Not doing well in college or high school?,,,,,,,,,
GEN-47,en,academic pressure,"<extra_id_0>, you are going to help you with your academics.",Are you in a trade school? Or in academia?,,,,,,,,,
GEN-48,en,academic pressure,<extra_id_0> you are struggling financially.,"Well, I went through a similar situation when a pink-eye breakout hurt my school....",,,,,,,,,
GEN-49,en,job crisis,<extra_id_0> you are looking for another job in my locality.,So it sounds like you've been struggling with finding a new job. It's never easy looking for a new job during these times. Why do you think you're having trouble?,,,,,,,,,
GEN-50,en,job crisis,<extra_id_0> you can find a job in your locality.,It sounds like you're motivated and dealing with a lot. Is there a specific job that you had in mind or are you applying to different kinds of jobs?,,,,,,,,,
GEN-51,en,job crisis,<extra_id_0> you are looking for a job in your locality.,It sounds like you really care to want to be close to home. Have you talked with someone locally about jobs that would allow you to stay close to home?,,,,,,,,,
GEN-52,en,job crisis,<extra_id_0> you can help you to stay close to home.,Stay motivated. If one opportunity doesn't get your desired response you may be even closer to finding the right job for you. Keep pushing on and know that if one opportunity doesn't work out a positive attitude will make all the difference. Just because you haven't found one yet doesn't mean you won't.,,,,,,,,,
GEN-53,en,job crisis,<extra_id_0> you are looking for a better job.,"Your faith is healthy and gives you purpose. Similarly you have to believe that the dots will connect in your favor. Maybe you can't connect them looking forward, but looking backwards you have to trust that the dots will somehow connect in your future.",,,,,,,,,
GEN-54,en,job crisis,<extra_id_0> you are satisfied.,"It can be frustrating to focus on your last job, especially if you haven't found a new one yet. Perhaps once you find a new job your disappointment with the last one won't be so disappointing anymore. If the new job is better you wouldn't have found it working the last job.",,,,,,,,,
GEN-55,en,job crisis,<extra_id_0> I am sorry for you.,Whats going on?,,,,,,,,,
GEN-56,en,job crisis,<extra_id_0> you are getting a lot trouble and anxiety to us.,It definitely is... Whats going on COVID wise with you?,,,,,,,,,
GEN-57,en,job crisis,<extra_id_0> you are planning to layoff some staffs.,"That isn't good, are you one of them?",,,,,,,,,
GEN-58,en,job crisis,<extra_id_0> you are going on a lot of anxiety.,It really has been a troubled year,,,,,,,,,
GEN-59,en,job crisis,<extra_id_0> you have been a troubled year.,We can only hope this year can be better.,,,,,,,,,
GEN-60,en,job crisis,<extra_id_0> you are going to help you to help your company.,What kind of hobbies do you have?,,,,,,,,,
GEN-61,en,job crisis,<extra_id_0> you are going through chemo.,"It is Christmas, so I expect there to be help for the lonely.",,,,,,,,,
GEN-62,en,job crisis,"<extra_id_0>, you can help you with the news from Nashville.",The news from Nashville?,,,,,,,,,
GEN-63,en,job crisis,"<extra_id_0>, you can help you with the news from Nashville?",What about it is making you feel anxious?,,,,,,,,,
GEN-64,en,job crisis,<extra_id_0> you are anxious.,You are totally stressed out?,,,,,,,,,
GEN-65,en,job crisis,<extra_id_0> you are stressed out?,I can tell that you are feeling bad about not seeing loved ones.,,,,,,,,,
GEN-66,en,job crisis,<extra_id_0> you are feeling anxious.,Do you have any treadmills you can use or a gym you can access today?,,,,,,,,,
GEN-67,en,ongoing depression,<extra_id_0> you are stressed?,When did this start?,,,,,,,,,
GEN-68,en,ongoing depression,<extra_id_0> you can remember.,That sounds really hard. Depression is tough to manage.,,,,,,,,,
GEN-69,en,ongoing depression,<extra_id_0> you can remember.,"I can feel that you have a lot of pent up frustration with this, especially after trying so hard.",,,,,,,,,
GEN-70,en,ongoing depression,<extra_id_0> you can feel that you are angry.,"Lot of research shows that feelings of anger can morph into depression, that is not uncommon.",,,,,,,,,
GEN-71,en,ongoing depression,<extra_id_0> you are very angry.,"I can tell that this has been very hard for you, especially since it has gone on so long.",,,,,,,,,
GEN-72,en,ongoing depression,<extra_id_0> you are very angry.,Why do you think you were angry?,,,,,,,,,
GEN-73,en,academic pressure,"<extra_id_0>, how are you?",good. and you?,,,,,,,,,
GEN-74,en,academic pressure,<extra_id_0> you are sorry to hear.,Great. How may I assist you today?,,,,,,,,,
GEN-75,en,academic pressure,<extra_id_0> you are sorry to hear.,Great. How may I assist you today?,,,,,,,,,
GEN-76,en,academic pressure,<extra_id_0> you can help you to help you.,Great talking to you too. I am sorry to hear that you are very worried. Why do you think you might lose your class? Are you not good at the subject?,,,,,,,,,
GEN-77,en,academic pressure,<extra_id_0> you are very sorry to hear that you are doing anxiety.,"It sounds like it is the problem of the professor. It is always good think about the worst case senario. If, if, you really fail the class, what will happen?",,,,,,,,,
GEN-78,en,academic pressure,<extra_id_0> you are a nurse.,"I see! I love your career goal. When I was a student, I visited my professor's room a lot. I did that for almost all classes. Some professors helped me a lot and gave me a lot of hint. Do you visit them as well?",,,,,,,,,
GEN-79,en,job crisis,<extra_id_0> you are sorry for you.,Do you want to tell me more about it?,,,,,,,,,
GEN-80,en,job crisis,<extra_id_0> you can tell you more about it?,I can understand that...,,,,,,,,,
GEN-81,en,job crisis,<extra_id_0> you can understand that?,Did you lose your job because of this?,,,,,,,,,
GEN-82,en,job crisis,<extra_id_0> you are asleep at work.,"Ouch, that's no good... I understand medical issues can cause all kinds of problems in our lives.",,,,,,,,,
GEN-83,en,job crisis,<extra_id_0> you are a few days during that time.,I understand..,,,,,,,,,
GEN-84,en,job crisis,<extra_id_0> you can understand that.,has the quality of your life improved?,,,,,,,,,
GEN-85,en,breakup with partner,<extra_id_0> I am sad because I lost my girlfriend of one year.,Oh I am so sorry to hear that - this is a terrible time of year to get dumped. Please know that it will get better in time!,,,,,,,,,
GEN-86,en,breakup with partner,<extra_id_0> you are sorry to hear that.,"Well, although it sounds like a cliche, time does help with healing wounds. It took me a while to get over a break up. We had been together eight years!",,,,,,,,,
GEN-87,en,breakup with partner,<extra_id_0> you are sorry to hear that.,Yes I think that it is but you really do need to be kind to yourself and give it time. Do you have good friends to support you?,,,,,,,,,
GEN-88,en,breakup with partner,<extra_id_0> you are a few friends.,That is a blessing at least though I know it can be hard to see people in happy relationships when you are single.,,,,,,,,,
GEN-89,en,breakup with partner,<extra_id_0> you are looking for a relationship.,"I cried a lot to be honest, especially as he was happy with someone else. But I tried to focus on my work and my hobbies. It helped.",,,,,,,,,
GEN-90,en,breakup with partner,<extra_id_0> you have a few friends to help you.,Well I love to read. Do you have anything that you could do to help you relax and take your mind off things?,,,,,,,,,
GEN-91,en,job crisis,"<extra_id_0>, how are you doing today?",Im okay how are you?,,,,,,,,,
GEN-92,en,job crisis,<extra_id_0> you are doing okay?,"Oh no, that's not good. I understand how you feel there. I can definately relate to that...What's going on?",,,,,,,,,
GEN-93,en,job crisis,<extra_id_0> you are getting a job keeper technician.,So you applied for the Security Team and was denied because of your full time position with the same company?,,,,,,,,,
GEN-94,en,job crisis,<extra_id_0> you are taking the position for the security team.,"Wow, that is crazy that is going on, it doesn't seem fair at all...",,,,,,,,,
GEN-95,en,job crisis,<extra_id_0> you are going to work for the security team.,Have you tried going to any higher up? Perhaps in the HR department?,,,,,,,,,
GEN-96,en,job crisis,<extra_id_0> you are going to work for a few months.,"That's horrible they would treat the HOSPITAL workers like this, with everything that is going on in the world today.",,,,,,,,,
GEN-97,en,ongoing depression,"<extra_id_0>, you are a very emotional situation.",How may i help you today?,,,,,,,,,
GEN-98,en,ongoing depression,<extra_id_0> you are sad.,I am sorry I know exactly how you are feeling I have had a dog that i loved more than anything die couple years ago,,,,,,,,,
GEN-99,en,ongoing depression,<extra_id_0> you are sorry to hear that.,What movie was it?,,,,,,,,,
GEN-100,en,ongoing depression,<extra_id_0> you are sorry to hear that a shelter was closing before Christmas.,Oh ok how did your dog die was something wrong with him or just old age?,,,,,,,,,
